ptp4l[6535.452]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.452]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.453]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.507]: port 1 (eth0): new foreign master 0242ac.fffe.102500-1
ptp4l[6539.507]: selected best master clock 0242ac.fffe.102500
ptp4l[6539.508]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[6735.527]: master offset -3551504732294377403 s2 freq -100000000 path delay 3551504732294374003
ptp4l[6736.527]: master offset      -1175 s2 freq   -8409 path delay     -2225
ptp4l[6737.527]: master offset      -3500 s2 freq   -8645 path delay     -2400
ptp4l[6738.527]: master offset          0 s2 freq   -8295 path delay     -2400
ptp4l[6739.528]: master offset       -475 s2 freq   -8343 path delay     -3225
ptp4l[6740.528]: master offset        625 s2 freq   -8233 path delay     -3225
ptp4l[6741.528]: master offset        825 s2 freq   -8212 path delay     -3225
ptp4l[6742.528]: master offset        375 s2 freq   -8256 path delay     -3375
ptp4l[6743.528]: master offset       2175 s2 freq   -8074 path delay     -3375
ptp4l[6744.528]: master offset       1049 s2 freq   -8186 path delay     -3250
ptp4l[6745.528]: master offset       1200 s2 freq   -8169 path delay     -3200
ptp4l[6746.529]: master offset        525 s2 freq   -8236 path delay     -2825
ptp4l[6747.529]: master offset        400 s2 freq   -8249 path delay     -2600
ptp4l[6748.529]: master offset        150 s2 freq   -8273 path delay     -2550
ptp4l[6749.529]: master offset       -150 s2 freq   -8304 path delay     -2550
ptp4l[6750.529]: master offset       -650 s2 freq   -8354 path delay     -2550
ptp4l[6751.529]: master offset       -350 s2 freq   -8325 path delay     -2550
ptp4l[6752.529]: master offset       -300 s2 freq   -8320 path delay     -2600
ptp4l[6753.529]: master offset        350 s2 freq   -8255 path delay     -2550
ptp4l[6754.529]: master offset        650 s2 freq   -8224 path delay     -2550
ptp4l[6755.529]: master offset        950 s2 freq   -8193 path delay     -2550
ptp4l[6756.529]: master offset       -250 s2 freq   -8313 path delay     -2650
ptp4l[6757.530]: master offset        325 s2 freq   -8255 path delay     -2825
